文本,完整模板
玻利维亚	东邻巴西，西临太平洋,实体信息陈述_0（玻利维亚，东邻，巴西）实体信息陈述_1（玻利维亚，西临，太平洋）
玻利维亚	东邻巴西,实体信息陈述_0（玻利维亚，东邻，巴西）
玻利维亚	西临太平洋,实体信息陈述_0（玻利维亚，西临，太平洋）
玻利维亚	受寒流影响，多雾少雨,影响_0（寒流，玻利维亚，多雾少雨）
玻利维亚	受寒流影响,影响_0（寒流，玻利维亚，#）
玻利维亚	多雾少雨,实体信息陈述_0（玻利维亚，#，多雾少雨）
玻利维亚	西南山地垂直带谱复杂,实体信息陈述_0（玻利维亚西南山地，垂直带谱，复杂）
玻利维亚	城市多分布于平原地区,分布_0（玻利维亚城市，平原地区，多）
卫星发射当日	玻利维亚在傍晚可收看卫星发射直播,时间限定_0（卫星发射当日傍晚）实体信息陈述_1（玻利维亚，收看，卫星发射直播）
卫星发射当日	赤道正午太阳高度角接近90°,时间限定_0（卫星发射当日）实体信息陈述_1（赤道，正午太阳高度角，接近90°）
卫星发射当日	中国南极昆仑站所在地出现极昼现象,时间限定_0（卫星发射当日）实体信息陈述_1（中国南极昆仑站所在地，出现，极昼现象）
卫星发射当日	地球接近公转轨道的远日点,时间限定_0（卫星发射当日）实体信息陈述_1（地球，接近，公转轨道的远日点）
甲、乙、丙分别是	贵阳、西安、长春,匹配_0（甲，贵阳）匹配_1（乙，西安）匹配_2（丙，长春）
甲、乙、丙分别是	昆明、海口、哈尔滨,匹配_0（甲，昆明）匹配_1（乙，海口）匹配_2（丙，哈尔滨）
甲、乙、丙分别是	兰州、上海、沈阳,匹配_0（甲，兰州）匹配_1（乙，上海）匹配_2（丙，沈阳）
甲、乙、丙分别是	南宁、武汉、石家庄,匹配_0（甲，南宁）匹配_1（乙，武汉）匹配_2（丙，石家庄）
气旋	①给南亚地区带来大风暴雨天气,影响_0（气旋①，南亚地区，大风暴雨天气）
气旋	②自东南向西北方向移动,趋势_0（气旋②，#，自东南向西北方向，移动）
气旋	③移动方向与地球自转方向相反,比较_0（气旋③，地球，移动方向，自转方向，相反）
气旋	④生成于太平洋热带洋面,实体信息陈述_0（气旋④，生成于，太平洋热带洋面）
影响气旋④移动路径的主要是	东南信风,影响_0（东南信风，气旋④移动路径，#）
影响气旋④移动路径的主要是	副热带高压,影响_0（副热带高压，气旋④移动路径，#）
影响气旋④移动路径的主要是	极地东风,影响_0（极地东风，气旋④移动路径，#）
影响气旋④移动路径的主要是	北赤道暖流,影响_0（北赤道暖流，气旋④移动路径，#）
该河谷	岩层①比岩层②形成年代早,比较_0（岩层①，岩层②，形成年代，早）
该河谷	岩层②比岩层①易受侵蚀,比较_0（岩层②，岩层①，受侵蚀，易）
该河谷	是断层上发育形成的向斜谷,实体信息陈述_0（该河谷，是，断层上发育形成的向斜谷）
该河谷	呈“V”型，适宜修建水库,实体信息陈述_0（该河谷，呈，“V”型）实体信息陈述_1（该河谷，适宜，修建水库）
该河谷	呈“V”型,实体信息陈述_0（该河谷，呈，“V”型）
该河谷	适宜修建水库,实体信息陈述_0（该河谷，适宜，修建水库）
本次洪水	水位上升时，河流搬运作用减弱,时间限定_0（水位上升时）趋势_1（河流，搬运作用，#，减弱）
本次洪水	水位下降时，河流含沙量增加,时间限定_0（水位下降时）趋势_1（河流，含沙量，#，增加）
本次洪水	流量增大时，河流堆积作用增强,时间限定_0（流量增大时）趋势_1（河流，堆积作用，#，增强）
本次洪水	河流侵蚀作用使河床加宽变深,因果_0（河流侵蚀作用，趋势_1（河床，#，#，加宽变深））
指示牌在图5(b)中的位置是	①,位于_0（指示牌，①）
指示牌在图5(b)中的位置是	②,位于_0（指示牌，②）
指示牌在图5(b)中的位置是	③,位于_0（指示牌，③）
指示牌在图5(b)中的位置是	④,位于_0（指示牌，④）
①②③④依次示意	川菜馆、湘菜馆、粤菜馆、西餐馆,匹配_0（①，川菜馆）匹配_1（②，湘菜馆）匹配_2（③，粤菜馆）匹配_3（④，西餐馆）
①②③④依次示意	粤菜馆、西餐馆、川菜馆、湘菜馆,匹配_0（①，粤菜馆）匹配_1（②，西餐馆）匹配_2（③，川菜馆）匹配_3（④，湘菜馆）
①②③④依次示意	西餐馆、川菜馆、湘菜馆、粤菜馆,匹配_0（①，西餐馆）匹配_1（②，川菜馆）匹配_2（③，湘菜馆）匹配_3（④，粤菜馆）
①②③④依次示意	湘菜馆、粤菜馆、西餐馆、川菜馆,匹配_0（①，湘菜馆）匹配_1（②，粤菜馆）匹配_2（③，西餐馆）匹配_3（④，川菜馆）
各类餐馆如此分布，能够	降低餐馆原料的运输成本,
各类餐馆如此分布，能够	加速农业地域类型转变,
各类餐馆如此分布，能够	促进城市服务范围的扩大,
各类餐馆如此分布，能够	体现出地域文化的扩散,
土壤铜含量	因河水稀释而逐渐变小,趋势_0（土壤铜含量，#，因河水稀释，逐渐变小）
土壤铜含量	从冶炼厂向北递增幅度小,实体信息陈述_0（土壤铜含量，从冶炼厂向北递增幅度，小）
土壤铜含量	高值区沿盛行风向延伸,趋势_0（土壤铜含量，高值区，沿盛行风向，延伸）
土壤铜含量	在居民点大于200mg/kg,实体信息陈述_0（居民点，土壤铜含量，大于200mg/kg）
